date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:12:33	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2008%20Apr%202024%2007:12:35%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/favourite/remove/?key=WyJNb2RlbF9WYXVsdF9Bc3NldCIsImNyM21pIl0=&callback=YXNzZXQvaW5kZXgvY29udGFpbmVyL3F3ejdrcTdqL2ZvcmNlLzE=	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/favourite/remove/index13f1.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:33	93881/93881	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Apr%202024%2007:12:35%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1?page=5	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1af4d.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:33	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2008%20Apr%202024%2007:12:35%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/favourite/remove/?key=WyJNb2RlbF9WYXVsdF9Bc3NldCIsImNyM21tIl0=&callback=YXNzZXQvaW5kZXgvY29udGFpbmVyL3F3ejdrcTdqL2ZvcmNlLzE=	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/favourite/remove/index7041.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:33	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2008%20Apr%202024%2007:12:36%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/favourite/remove/?key=WyJNb2RlbF9WYXVsdF9Bc3NldCIsImNyM21vIl0=&callback=YXNzZXQvaW5kZXgvY29udGFpbmVyL3F3ejdrcTdqL2ZvcmNlLzE=	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/favourite/remove/indexa0a2.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:33	92367/92367	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Apr%202024%2007:12:36%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1?page=6	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1c575.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:33	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2008%20Apr%202024%2007:12:36%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/favourite/remove/?key=WyJNb2RlbF9WYXVsdF9Bc3NldCIsImNyM21yIl0=&callback=YXNzZXQvaW5kZXgvY29udGFpbmVyL3F3ejdrcTdqL2ZvcmNlLzE=	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/favourite/remove/index67e4.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:34	92369/92369	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Apr%202024%2007:12:36%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1?page=7	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1235c.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:34	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2008%20Apr%202024%2007:12:36%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/favourite/remove/?key=WyJNb2RlbF9WYXVsdF9Bc3NldCIsImNyM214Il0=&callback=YXNzZXQvaW5kZXgvY29udGFpbmVyL3F3ejdrcTdqL2ZvcmNlLzE=	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/favourite/remove/indexa648.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:34	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2008%20Apr%202024%2007:12:37%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/favourite/remove/?key=WyJNb2RlbF9WYXVsdF9Bc3NldCIsImNyM24wIl0=&callback=YXNzZXQvaW5kZXgvY29udGFpbmVyL3F3ejdrcTdqL2ZvcmNlLzE=	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/favourite/remove/index3c62.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:35	92750/92750	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Apr%202024%2007:12:37%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1?page=8	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1fdfa.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:35	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2008%20Apr%202024%2007:12:37%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/favourite/remove/?key=WyJNb2RlbF9WYXVsdF9Bc3NldCIsImNyM240Il0=&callback=YXNzZXQvaW5kZXgvY29udGFpbmVyL3F3ejdrcTdqL2ZvcmNlLzE=	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/favourite/remove/index5f75.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
09:12:35	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2008%20Apr%202024%2007:12:38%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/favourite/remove/?key=WyJNb2RlbF9WYXVsdF9Bc3NldCIsImNyM25iIl0=&callback=YXNzZXQvaW5kZXgvY29udGFpbmVyL3F3ejdrcTdqL2ZvcmNlLzE=	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/favourite/remove/index589c.html	(from https://printmyphotosgrahamstown.photofrog.co.za/asset/index/container/qwz7kq7j/force/1)
